# test_id(0) nb_it(1) time(2) mean_time(3) std_time(4) min_time(5) max_time(6) nb_diffusion_it(7) diffusion_time(8) mean_diffusion_time(9) std_diffusion_time(10) min_diffusion_time(11) max_diffusion_time(12) nb_extension_it(13) extension_time(14) mean_extension_time(15) std_extension_time(16) min_extension_time(17) max_extension_time(18) nb_nodes(19) path_lenth(20) nb_path_config(21) optim_time(22) optim_path_length(23) nb_optim_path_config(24)
1 5 0.470188 0.0940376 0.0699491 0.023339 0.216371 5 0.247526 0.0495052 0.0302243 0.015554 0.095779 5 0.123705 0.024741 0.0151089 0.00777 0.047876 4 3.34848 4 1.01316 3.00695 3
2 7 1.17513 0.167876 0.18719 0.010316 0.594466 7 0.522523 0.0746461 0.0821365 0.006875 0.27011 7 0.261192 0.0373131 0.0410658 0.003435 0.135041 6 3.51913 5 1.49406 3.06064 4
3 15 0.839638 0.0559759 0.0537344 0.00733 0.169824 15 0.525132 0.0350088 0.0331868 0.004884 0.10936 15 0.262469 0.0174979 0.016589 0.002439 0.054667 4 3.40928 4 0.524124 2.98704 3
4 28 2.59089 0.0925317 0.0954181 0.00625 0.317705 28 1.24887 0.0446026 0.0401694 0.004164 0.143661 28 0.624218 0.0222935 0.0200804 0.002079 0.071818 11 3.35234 6 1.7419 3.01889 4
5 38 1.51313 0.0398193 0.0483329 0.005757 0.191675 38 0.854571 0.0224887 0.0240181 0.003835 0.106284 38 0.427118 0.0112399 0.0120056 0.001915 0.053128 6 3.85991 6 1.88334 3.10969 3
6 6 0.497249 0.0828748 0.0474365 0.017807 0.125136 6 0.283536 0.047256 0.0299133 0.011868 0.079951 6 0.14171 0.0236183 0.0149525 0.005931 0.039962 4 3.57268 4 0.739749 2.96578 3
7 7 0.989172 0.14131 0.19581 0.005668 0.563164 7 0.583294 0.0833277 0.111057 0.003776 0.315428 7 0.291591 0.0416559 0.0555239 0.001885 0.1577 4 3.62002 4 0.697002 3.05829 3
8 29 1.74311 0.0601073 0.0683412 0.005258 0.245083 29 1.03746 0.0357744 0.0389849 0.003503 0.159774 29 0.51856 0.0178814 0.0194885 0.001749 0.079873 6 3.43932 6 1.23702 3.00233 4
9 41 3.18015 0.0775647 0.0693565 0.006097 0.243739 41 1.70851 0.0416711 0.0374906 0.004062 0.131427 41 0.85391 0.0208271 0.0187415 0.002028 0.0657 8 3.49341 8 1.56724 3.00983 3
10 17 1.78614 0.105067 0.116068 0.007492 0.377072 17 1.0065 0.0592062 0.0631833 0.004992 0.234482 17 0.503111 0.0295948 0.0315877 0.002493 0.117227 7 3.57386 6 1.28181 3.00977 3
11 46 1.7104 0.0371825 0.0405141 0.005929 0.169595 46 1.0697 0.0232544 0.0236332 0.00395 0.106054 46 0.534659 0.011623 0.0118133 0.001972 0.053013 4 3.5578 4 1.45879 3.10958 3
12 13 1.96954 0.151503 0.124502 0.010497 0.329735 13 0.945627 0.0727405 0.0606222 0.006995 0.206156 13 0.472682 0.0363602 0.0303085 0.003495 0.103065 6 3.47143 6 1.38072 3.02812 3
