# test_id(0) nb_it(1) time(2) mean_time(3) std_time(4) min_time(5) max_time(6) nb_diffusion_it(7) diffusion_time(8) mean_diffusion_time(9) std_diffusion_time(10) min_diffusion_time(11) max_diffusion_time(12) nb_extension_it(13) extension_time(14) mean_extension_time(15) std_extension_time(16) min_extension_time(17) max_extension_time(18) nb_nodes(19) path_lenth(20) nb_path_config(21) optim_time(22) optim_path_length(23) nb_optim_path_config(24)
1 329 28.3708 0.0862333 0.0947927 0.004456 0.633645 329 14.0107 0.0425858 0.0445304 0.002968 0.260155 329 7.00301 0.0212857 0.0222614 0.001481 0.130064 14 4.15696 14 2.4681 4.09981 4
2 523 27.3146 0.0522267 0.0722608 0.004449 0.715284 523 14.853 0.0283996 0.0376393 0.002963 0.460015 523 7.42398 0.014195 0.0188167 0.001479 0.229992 14 5.08737 14 2.81916 4.11028 4
3 64 4.02022 0.0628159 0.082216 0.006039 0.402525 64 2.04603 0.0319692 0.0355222 0.004023 0.175982 64 1.02268 0.0159794 0.0177574 0.002008 0.087978 9 4.31993 9 2.30303 4.09503 4
4 60 5.9549 0.0992484 0.119397 0.005606 0.634672 60 3.19375 0.0532292 0.0677059 0.003735 0.402611 60 1.59646 0.0266076 0.0338494 0.001865 0.201291 6 4.87195 6 2.51836 4.0213 4
5 13972 477.517 0.0341767 0.038353 0.004537 0.894101 13972 293.06 0.0209748 0.0190055 0.003022 0.347908 13972 146.479 0.0104838 0.00950073 0.001508 0.173938 14 5.37314 14 2.27458 5.22358 9
6 74 5.63203 0.0761086 0.0851528 0.005696 0.404424 74 2.76975 0.0374291 0.0395843 0.003795 0.197561 74 1.38441 0.0187082 0.0197883 0.001895 0.098768 7 4.64955 7 4.33884 4.11041 4
7 51 5.99014 0.117454 0.136472 0.005394 0.600545 51 2.84168 0.0557192 0.0689943 0.003593 0.356131 51 1.42045 0.027852 0.0344936 0.001794 0.178051 8 4.52388 8 2.27152 4.0924 4
8 236 15.6471 0.0663012 0.0873834 0.004767 0.578344 236 8.00233 0.0339082 0.0426245 0.003175 0.360484 236 3.99984 0.0169485 0.021309 0.001585 0.180229 8 4.60005 8 1.60659 4.05962 4
9 275 14.0014 0.0509142 0.0687872 0.005456 0.462373 275 7.70854 0.028031 0.0346056 0.003635 0.244977 275 3.85302 0.014011 0.0172997 0.001815 0.122475 8 4.56604 8 2.58644 4.1459 4
10 43 4.854 0.112884 0.113015 0.005754 0.48963 43 2.31321 0.0537955 0.0514882 0.003833 0.266604 43 1.15626 0.0268898 0.0257403 0.001914 0.133288 9 4.34698 9 2.97312 4.0472 4
11 304 16.7756 0.0551829 0.0710711 0.004493 0.373926 304 8.88759 0.0292355 0.0331067 0.002993 0.211411 304 4.44232 0.0146129 0.01655 0.001494 0.105692 7 4.16008 7 4.01022 4.04123 4
12 1121 51.1065 0.0455901 0.0539576 0.004586 0.372021 1121 28.763 0.0256584 0.0263138 0.003055 0.220621 1121 14.3765 0.0128247 0.0131539 0.001525 0.110297 10 5.07081 10 2.62896 4.02371 4
13 2057 81.7644 0.0397493 0.0484127 0.00489 0.419848 2057 47.9251 0.0232985 0.0235476 0.003257 0.253301 2057 23.9542 0.0116452 0.011771 0.001626 0.126636 9 4.51743 9 2.10514 4.04864 4
14 286 17.5777 0.0614604 0.0811004 0.005348 0.401295 286 9.26236 0.0323859 0.0399145 0.003563 0.249136 286 4.62969 0.0161877 0.0199539 0.001779 0.124554 12 5.03358 12 3.46191 4.10911 4
15 572 26.4789 0.0462918 0.0609121 0.005564 0.439892 572 14.8823 0.026018 0.029065 0.003707 0.246983 572 7.43866 0.0130047 0.0145293 0.001851 0.123478 8 6.34701 8 2.87422 4.07273 4
16 7 0.57675 0.0823929 0.0704219 0.028089 0.23862 7 0.285541 0.0407916 0.0239729 0.018723 0.088325 7 0.142715 0.0203879 0.0119816 0.009358 0.044148 4 4.5496 4 1.57721 3.99669 3
17 517 35.3381 0.0683522 0.0809389 0.005304 0.493588 517 18.1559 0.0351178 0.0384801 0.003533 0.243693 517 9.07497 0.0175531 0.0192364 0.001764 0.121832 21 5.9605 14 2.22769 4.01246 3
18 170 10.4204 0.0612963 0.0846424 0.005694 0.421157 170 5.67939 0.0334082 0.0445834 0.003793 0.248299 170 2.83881 0.0166989 0.0222884 0.001894 0.124136 7 4.55185 7 1.28243 4.05487 4
19 307 22.9104 0.0746268 0.0933001 0.005327 0.668384 307 10.9122 0.0355446 0.0428825 0.003549 0.397134 307 5.4542 0.0177661 0.0214378 0.001772 0.198553 11 4.62327 11 2.80629 4.17057 4
20 75 6.46501 0.0862001 0.0982303 0.005345 0.57743 75 3.39077 0.0452103 0.052238 0.003561 0.320932 75 1.69487 0.0225983 0.0261155 0.001778 0.160451 10 4.48294 10 2.40632 4.12506 4
21 26 2.75759 0.106061 0.135948 0.005432 0.49643 26 1.39546 0.0536715 0.0642697 0.003618 0.215567 26 0.697554 0.026829 0.0321308 0.001805 0.107771 5 4.46893 5 2.18943 4.0989 4
22 17 1.15267 0.0678042 0.0853396 0.008012 0.269392 17 0.565047 0.0332381 0.0376519 0.005339 0.134917 17 0.282431 0.0166136 0.0188223 0.002667 0.067444 4 4.71998 4 1.02711 4.01689 3
23 141 9.66039 0.0685134 0.0902161 0.005404 0.486306 141 4.63538 0.0328751 0.0413122 0.0036 0.255144 141 2.31687 0.0164317 0.0206525 0.001797 0.127558 11 4.81174 11 2.56656 4.07992 4
24 344 16.5866 0.0482168 0.0634325 0.004831 0.386793 344 9.28996 0.0270057 0.0318507 0.003217 0.209776 344 4.64341 0.0134983 0.0159223 0.001604 0.104873 4 4.19206 4 2.57582 4.02822 4
25 94 10.0517 0.106933 0.110822 0.00527 0.456649 94 4.38654 0.0466653 0.0508861 0.003511 0.241396 94 2.19254 0.0233249 0.0254393 0.001753 0.120684 7 4.49853 7 3.47796 4.02746 5
26 86 8.37044 0.0973307 0.0940891 0.00526 0.392394 86 3.97262 0.0461932 0.0433264 0.003504 0.215322 86 1.98563 0.0230887 0.0216593 0.001749 0.107649 14 4.87127 14 2.08929 4.11721 4
27 147 9.43053 0.0641533 0.0745097 0.005752 0.376199 147 5.11561 0.0348001 0.036353 0.003832 0.196707 147 2.55701 0.0173946 0.0181727 0.001913 0.098341 10 4.73749 10 2.2472 4.06203 5
28 41 1.998 0.0487318 0.060988 0.008649 0.34234 41 1.04477 0.0254822 0.0215509 0.005763 0.095669 41 0.522192 0.0127364 0.0107719 0.002879 0.047821 6 4.95548 6 2.38446 4.0709 4
29 613 42.8069 0.0698318 0.0848292 0.004526 0.550882 613 21.9156 0.0357514 0.0406358 0.003015 0.282154 613 10.9542 0.0178698 0.0203143 0.001505 0.141063 47 4.3747 9 2.2976 4.15161 4
30 101 8.58073 0.0849577 0.0939076 0.005463 0.452601 101 3.95388 0.0391473 0.0392647 0.003639 0.160994 101 1.97626 0.0195669 0.0196283 0.001817 0.080482 9 4.66766 9 2.91203 4.09379 4
31 5864 215.82 0.0368042 0.0434895 0.004473 1.0761 5864 131.356 0.0224005 0.0217928 0.002979 0.274787 5864 65.6555 0.0111964 0.010894 0.001487 0.13738 16 5.96898 16 2.80546 4.76911 5
32 27 4.05829 0.150307 0.116806 0.010524 0.487371 27 1.86245 0.0689796 0.065405 0.007013 0.268181 27 0.930947 0.0344795 0.0327 0.003504 0.134077 7 4.58961 7 3.4019 3.96476 4
33 56 4.33086 0.0773368 0.0891211 0.006213 0.348592 56 2.19169 0.0391374 0.0440567 0.004139 0.207489 56 1.09549 0.0195624 0.0220247 0.002067 0.103731 7 4.29694 7 2.19156 4.0561 4
34 50 4.28881 0.0857761 0.0946383 0.006652 0.369552 50 2.14633 0.0429267 0.048463 0.004432 0.215729 50 1.07282 0.0214565 0.024228 0.002213 0.107852 6 4.47082 6 3.08146 4.082 5
35 282 16.8519 0.0597586 0.0788692 0.005395 0.640086 282 8.89822 0.031554 0.0421121 0.003594 0.406953 282 4.44755 0.0157714 0.021053 0.001794 0.203462 11 4.60268 11 3.52966 4.01556 4
36 36 3.59854 0.0999594 0.0901843 0.006585 0.346196 36 1.66888 0.0463577 0.0393152 0.004387 0.166992 36 0.834137 0.0231705 0.0196534 0.002191 0.083481 9 4.74013 9 2.68476 4.0654 4
37 27 2.01153 0.074501 0.0794807 0.006767 0.25517 27 1.0683 0.0395667 0.0384213 0.004509 0.142425 27 0.53399 0.0197774 0.0192063 0.002252 0.0712 6 4.8636 6 3.90248 4.2648 4
38 73 3.58475 0.0491061 0.0853288 0.006269 0.612883 73 1.85885 0.0254637 0.0290413 0.004177 0.158483 73 0.929128 0.0127278 0.0145175 0.002086 0.079228 5 4.22803 5 3.12342 4.16405 4
