# test_id(0) nb_it(1) time(2) mean_time(3) std_time(4) min_time(5) max_time(6) nb_diffusion_it(7) diffusion_time(8) mean_diffusion_time(9) std_diffusion_time(10) min_diffusion_time(11) max_diffusion_time(12) nb_extension_it(13) extension_time(14) mean_extension_time(15) std_extension_time(16) min_extension_time(17) max_extension_time(18) nb_nodes(19) path_lenth(20) nb_path_config(21) optim_time(22) optim_path_length(23) nb_optim_path_config(24)
1 2112 122.846 0.0581659 0.0695161 0.004413 0.508594 2112 70.7294 0.0334893 0.0389341 0.002939 0.322561 2112 35.3585 0.0167417 0.0194668 0.001467 0.161275 641 5.82526 48 4.4248 5.38004 4
2 534 40.6238 0.0760745 0.0852397 0.004468 0.589237 534 21.9855 0.0411713 0.0466806 0.002976 0.388965 534 10.9912 0.0205827 0.0233401 0.001485 0.194478 217 4.78971 17 2.36732 4.42755 4
3 104 10.6539 0.102441 0.1099 0.004587 0.494694 104 5.4779 0.0526721 0.0562119 0.003055 0.262221 104 2.73864 0.0263331 0.0281057 0.001525 0.131107 52 4.50125 10 3.83947 4.17956 4
4 229 21.2671 0.0928696 0.0954846 0.005376 0.620841 229 10.8865 0.0475392 0.0483806 0.003581 0.253411 229 5.44255 0.0237666 0.0241901 0.001788 0.126702 112 4.82467 16 2.12728 4.0639 4
5 40 6.31811 0.157953 0.117321 0.005407 0.562253 40 3.15215 0.0788037 0.0652061 0.003602 0.35272 40 1.57595 0.0393987 0.0326028 0.001798 0.176356 34 4.85378 11 2.71729 4.04543 4
6 1771 112.24 0.0633768 0.0739845 0.004442 0.619151 1771 63.5213 0.0358675 0.0404769 0.002959 0.386777 1771 31.7554 0.0179307 0.0202383 0.001477 0.193385 560 8.10517 68 2.43169 5.13384 4
7 281 23.3787 0.0831981 0.0916056 0.004517 0.567815 281 12.2592 0.043627 0.0491183 0.003009 0.351332 281 6.12874 0.0218104 0.0245589 0.001502 0.175662 124 4.38183 17 3.83704 4.33391 4
8 37 5.37043 0.145147 0.144322 0.005369 0.669317 37 2.6886 0.0726649 0.0849173 0.003577 0.425412 37 1.34418 0.0363291 0.0424583 0.001786 0.212702 27 4.3752 10 2.32531 4.1917 4
9 843 56.3684 0.0668664 0.0773964 0.004774 0.514579 843 30.2785 0.0359176 0.0401213 0.00318 0.316512 843 15.1368 0.0179558 0.0200604 0.001587 0.158252 283 5.16607 41 4.36054 5.22863 4
10 445 34.8596 0.0783362 0.0924274 0.004724 0.643184 445 18.8022 0.0422522 0.0481063 0.003146 0.341716 445 9.3998 0.0211231 0.0240529 0.00157 0.170854 167 4.70745 20 2.17608 4.27064 4
