# test_id(0) nb_it(1) time(2) mean_time(3) std_time(4) min_time(5) max_time(6) nb_diffusion_it(7) diffusion_time(8) mean_diffusion_time(9) std_diffusion_time(10) min_diffusion_time(11) max_diffusion_time(12) nb_extension_it(13) extension_time(14) mean_extension_time(15) std_extension_time(16) min_extension_time(17) max_extension_time(18) nb_nodes(19) path_lenth(20) nb_path_config(21) optim_time(22) optim_path_length(23) nb_optim_path_config(24)
1 241 13.9913 0.0580553 0.0731104 0.005166 0.55681 241 7.42533 0.0308105 0.0378043 0.003441 0.34243 241 3.71128 0.0153995 0.018899 0.001718 0.171202 11 3.07216 11 2.27678 2.74829 9
2 157 9.59772 0.061132 0.0704841 0.005165 0.411765 157 5.12562 0.0326473 0.0358343 0.003441 0.269441 157 2.56188 0.0163177 0.0179139 0.001718 0.134707 12 2.99139 12 1.44257 3.00053 7
3 795 27.4913 0.0345803 0.0427655 0.00507 0.430931 795 16.4448 0.0206853 0.0219476 0.003377 0.208046 795 8.21944 0.0103389 0.0109715 0.001686 0.10401 11 3.73748 11 2.15724 2.55082 5
4 151 7.56061 0.0500703 0.0668305 0.005184 0.550383 151 4.33957 0.0287388 0.036341 0.003453 0.332369 151 2.16896 0.014364 0.0181673 0.001724 0.166171 14 3.40432 14 1.89969 2.36996 4
5 2792 84.02 0.0300931 0.033224 0.005102 0.560075 2792 53.7148 0.0192388 0.0187199 0.003399 0.294737 2792 26.8481 0.00961607 0.00935818 0.001697 0.147355 12 5.38906 12 2.04101 2.42557 7
6 305 12.7137 0.0416841 0.0554136 0.005171 0.363055 305 7.25787 0.0237963 0.0284158 0.003445 0.201342 305 3.62758 0.0118937 0.0142051 0.00172 0.100658 8 2.98778 8 2.73908 2.31944 5
7 203 14.4065 0.070968 0.0811342 0.004162 0.365725 203 7.19284 0.0354327 0.0400262 0.002772 0.223644 203 3.59511 0.0177099 0.0200095 0.001383 0.11181 16 3.0844 14 1.825 2.28072 4
8 608 23.9761 0.0394343 0.0470103 0.005256 0.424167 608 14.2647 0.0234617 0.0246049 0.003501 0.21062 608 7.12975 0.0117266 0.0122996 0.001748 0.105297 11 2.81306 11 1.86142 2.82866 6
9 504 19.207 0.0381091 0.0504925 0.005109 0.522862 504 11.5921 0.0230002 0.0272682 0.003403 0.310857 504 5.79402 0.0114961 0.0136316 0.001699 0.155415 6 2.89199 6 1.2856 2.71126 5
10 325 13.9185 0.0428261 0.0517512 0.005001 0.271526 325 7.96187 0.0244981 0.0267137 0.003331 0.156657 325 3.97946 0.0122445 0.0133539 0.001663 0.078316 16 3.42246 16 2.54039 2.53753 7
11 414 20.5434 0.0496217 0.0632995 0.004481 0.609274 414 11.162 0.0269614 0.0288542 0.002985 0.199549 414 5.57884 0.0134755 0.0144237 0.00149 0.09976 16 3.69128 16 1.71983 2.90286 11
12 557 20.624 0.037027 0.0446838 0.005138 0.297247 557 12.4706 0.0223889 0.0241345 0.003423 0.163186 557 6.23314 0.0111906 0.0120646 0.001709 0.081581 12 3.50732 12 2.08156 2.24785 4
13 125 7.14014 0.0571211 0.0695764 0.005189 0.502218 125 4.15919 0.0332735 0.0417147 0.003457 0.317705 125 2.07889 0.0166311 0.0208544 0.001726 0.158838 14 3.71336 14 1.91253 3.11227 9
14 136 7.42709 0.0546109 0.0602635 0.005075 0.281477 136 3.97302 0.0292134 0.0297485 0.003381 0.158683 136 1.98579 0.0146014 0.0148707 0.001688 0.079329 11 2.60794 11 2.4602 2.29643 4
15 398 15.9648 0.0401125 0.051551 0.004982 0.459625 398 9.30433 0.0233777 0.0268171 0.003319 0.284165 398 4.65047 0.0116846 0.0134057 0.001657 0.142068 11 3.86014 11 2.28559 2.32393 5
16 182 11.4429 0.0628732 0.100077 0.005031 0.629023 182 5.54508 0.0304675 0.0386718 0.003351 0.240242 182 2.77158 0.0152285 0.0193327 0.001673 0.120108 17 4.04634 12 3.43031 2.28301 4
17 957 30.3901 0.0317556 0.0359646 0.004104 0.282945 957 19.0489 0.0199048 0.02037 0.002733 0.166131 957 9.52093 0.00994872 0.0101827 0.001363 0.083054 10 2.44269 10 1.72001 2.38483 7
18 443 21.126 0.0476886 0.0535041 0.004118 0.366801 443 11.9005 0.0268633 0.0272454 0.002743 0.196476 443 5.94795 0.0134265 0.0136195 0.001369 0.098226 39 3.60214 18 2.78307 2.33743 4
19 147 11.2461 0.0765038 0.0843131 0.005131 0.343882 147 5.31564 0.0361608 0.0364075 0.003418 0.1768 147 2.65682 0.0180736 0.0182 0.001706 0.088388 14 3.37125 13 2.32526 2.28091 4
20 388 17.3799 0.0447936 0.0566004 0.00504 0.379819 388 9.96609 0.0256858 0.028122 0.003357 0.217477 388 4.98137 0.0128386 0.0140583 0.001676 0.108726 20 3.5132 13 2.3523 2.18229 3
21 154 10.2875 0.0668018 0.0708999 0.005074 0.336019 154 5.2484 0.0340805 0.0344477 0.00338 0.164783 154 2.62325 0.0170341 0.0172203 0.001687 0.08238 18 3.97123 15 2.16126 2.10897 4
22 858 29.7294 0.0346496 0.0343577 0.005086 0.31442 858 18.7771 0.0218847 0.0189466 0.003388 0.196464 858 9.38569 0.010939 0.00947149 0.001691 0.098219 8 2.94656 8 2.72348 2.37955 4
23 55 5.0835 0.0924273 0.091744 0.005043 0.378682 55 2.52858 0.0459742 0.0491567 0.003359 0.244772 55 1.26387 0.0229794 0.024575 0.001677 0.122374 15 2.74367 15 2.12583 2.2665 8
24 796 33.3497 0.0418966 0.0551176 0.003993 0.372713 796 18.4134 0.0231324 0.0271684 0.002659 0.243693 796 9.20315 0.0115617 0.0135814 0.001327 0.121833 27 3.90923 16 3.31368 2.18393 4
25 1949 61.0281 0.0313125 0.0390395 0.005096 0.385489 1949 37.9363 0.0194645 0.0211679 0.003395 0.234 1949 18.9614 0.00972877 0.0105819 0.001695 0.116983 9 2.89689 9 1.81897 2.19127 4
26 187 10.0028 0.053491 0.0695273 0.004462 0.503277 187 5.39081 0.0288278 0.0329084 0.002972 0.230946 187 2.69442 0.0144087 0.016451 0.001483 0.115459 11 3.03573 11 1.89806 2.58812 7
27 1253 44.9418 0.0358674 0.0393656 0.004028 0.293294 1253 26.6145 0.0212406 0.0203208 0.002683 0.174754 1253 13.302 0.0106161 0.0101577 0.001339 0.087364 19 3.31454 19 2.17198 2.51854 5
28 132 6.79966 0.0515126 0.0557584 0.004992 0.302553 132 3.73189 0.0282719 0.0291268 0.003325 0.176491 132 1.86521 0.0141304 0.0145601 0.00166 0.088232 14 3.62087 14 3.42055 2.66294 4
