# test_id(0) nb_it(1) time(2) mean_time(3) std_time(4) min_time(5) max_time(6) nb_diffusion_it(7) diffusion_time(8) mean_diffusion_time(9) std_diffusion_time(10) min_diffusion_time(11) max_diffusion_time(12) nb_extension_it(13) extension_time(14) mean_extension_time(15) std_extension_time(16) min_extension_time(17) max_extension_time(18) nb_nodes(19) path_lenth(20) nb_path_config(21) optim_time(22) optim_path_length(23) nb_optim_path_config(24)
1 321 21.7686 0.067815 0.0777437 0.004698 0.468806 321 12.5876 0.0392138 0.0450615 0.003129 0.300036 321 6.29289 0.019604 0.0225305 0.001562 0.150015 131 2.50822 18 2.22228 2.47773 5
2 84 6.89541 0.0820882 0.0922525 0.005072 0.493635 84 3.64209 0.0433582 0.0497933 0.003379 0.294316 84 1.8208 0.0216762 0.0248964 0.001687 0.147154 43 2.60256 15 2.83735 2.36457 4
3 175 13.2353 0.0756303 0.0922846 0.004286 0.598648 175 7.05713 0.0403265 0.0465938 0.002855 0.233293 175 3.52807 0.0201604 0.0232967 0.001425 0.116642 74 2.66671 16 2.79497 2.74191 10
4 194 14.4945 0.0747141 0.0795893 0.004079 0.398935 194 8.24787 0.0425148 0.045238 0.002717 0.212621 194 4.12336 0.0212544 0.0226188 0.001356 0.106307 91 2.63019 22 2.48495 2.27769 4
5 195 14.0507 0.0720547 0.0764178 0.004963 0.378523 195 7.73571 0.0396703 0.043855 0.003306 0.249548 195 3.8673 0.0198323 0.0219272 0.00165 0.124769 86 2.70663 19 1.79678 2.36948 8
6 1513 69.6886 0.0460599 0.0560132 0.003929 0.381714 1513 41.0682 0.0271436 0.0317283 0.002617 0.233937 1513 20.5298 0.0135689 0.015864 0.001306 0.116965 392 2.936 24 3.17058 2.85955 5
7 308 20.0531 0.0651075 0.0805336 0.004947 0.637869 308 11.4603 0.0372089 0.0461868 0.003295 0.395969 308 5.72928 0.0186015 0.0230932 0.001645 0.197981 127 2.9041 14 1.59843 2.76092 4
8 618 35.6753 0.057727 0.0675048 0.004016 0.524178 618 21.3221 0.0345017 0.0402813 0.002675 0.327244 618 10.6592 0.0172479 0.0201405 0.001335 0.163618 215 3.22804 32 2.38391 2.2222 3
9 225 15.5177 0.0689675 0.0789855 0.003983 0.408782 225 9.18904 0.0408402 0.0466898 0.002653 0.270165 225 4.59388 0.0204172 0.0233447 0.001324 0.135079 103 2.42588 16 1.55435 2.1599 5
10 79 7.15037 0.090511 0.102574 0.00502 0.463567 79 3.95649 0.0500821 0.0555076 0.003344 0.302787 79 1.978 0.025038 0.0277536 0.001669 0.15139 43 2.37469 15 1.50104 2.37245 7
11 79 6.97262 0.088261 0.0975649 0.005372 0.393803 79 3.7801 0.0478494 0.0541043 0.003579 0.224106 79 1.88983 0.0239218 0.0270519 0.001787 0.112049 43 2.76867 13 1.92678 2.23903 4
12 154 13.4106 0.0870818 0.0909712 0.004361 0.376095 154 7.3799 0.0479215 0.0517212 0.002905 0.243257 154 3.6895 0.0239578 0.0258604 0.00145 0.121625 77 2.65906 14 1.83749 2.3364 10
13 207 15.1917 0.0733899 0.0793786 0.004934 0.474163 207 8.31319 0.0401603 0.0423635 0.003287 0.235375 207 4.15597 0.0200772 0.0211815 0.001641 0.117684 91 2.42934 12 1.3482 2.23832 9
14 18 2.6869 0.149272 0.0872646 0.006312 0.342585 18 1.29481 0.0719338 0.0466878 0.004205 0.16094 18 0.647348 0.0359638 0.0233436 0.0021 0.080466 18 2.23827 10 2.36951 2.36282 6
15 208 13.0306 0.0626469 0.0736364 0.004968 0.50036 208 7.42034 0.0356747 0.0389834 0.003309 0.209343 208 3.70955 0.0178344 0.0194916 0.001652 0.104668 80 2.6602 13 2.54767 2.54869 6
